,Giá tiền,Mã sản phẩm,Nhãn hiệu,Nguồn gốc,Kiểu máy,Kích cỡ,Chất liệu vỏ,Chất liệu dây,Chất liệu kính,Độ chịu nước,Chức năng khác,Bảo hiểm,Bảo hành quốc tế,Giới tính
22,1.750.000,SG1055.4101TE,SRWatch,Nhật Bản,Quartz (Pin),39mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
23,12.400.000,SRPC79J1,Seiko,Nhật Bản,Automatic,41.7 mm,Thép,Thép,Kính Sapphire,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
24,4.740.000,SNE477P1,Seiko,Nhật Bản,Solar,43 mm,Thép - PVD Ion đen,Dây da,Kính cứng,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
25,8.450.000,SRPB57K1,Seiko,Nhật Bản,Automatic,44.7 mm,Thép,Thép,Kính cứng,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
26,24.403.600,OG388.67AGSR,Ogival,Thụy Sỹ,Automatic,40mm,Thép không gỉ/Mạ PVD,Thép không gỉ/Mạ PVD,Kính Sapphire,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
27,5.890.000,SRPB93K1,Seiko,Nhật Bản,Automatic,44mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,100M,Lịch ngày.,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
28,1.800.000,SG1079.1102TE,SRWatch,Nhật Bản,Quartz (Pin),39mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
29,9.250.000,SRK040P1,Seiko,Nhật Bản,Quartz,38 mm,Thép không gỉ 316L,Dây da,Kính Sapphirel Crystal,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
30,8.900.000,NY0083-14X,Citizen,Nhật Bản,Automatic,42mm,Thép - PVD vàng hồng,Cao su,Kính cứng chịu lực,200M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
31,5.360.000,OPA58012-04DMK-T,Olympia Star,Thụy Sỹ,Quartz,38 mm,Thép không rỉ 316L/ mạ vàng công nghệ PVD,Thép không rỉ 316L/ mạ vàng công nghệ PVD,Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
32,1.910.000,FSZ3N008B0,Orient,Nhật Bản,Quartz,28 mm,Thép không gỉ 316L,Dây da,Kính Cứng,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
33,4.230.000,F20005/3,Festina,Thụy Sỹ,Swiss quartz (Pin),40 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,100 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
34,7.370.000,SRKZ50P1,Seiko,Nhật Bản,Quartz (Pin),32mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
35,2.900.000,FUNG2001F0,Orient,Nhật Bản,Quartz,42 mm,Thép không gỉ,Thép không gỉ,Kính Cứng,50M,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
36,4.670.000,COPY,Olym Pianus,Nhật Bản,Automatic,40 mm,Thép không gỉ 316L / Mạ PVD,Thép không gỉ 316L / Mạ PVD,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
37,4.700.000,EZ6372-51E,Citizen,Nhật Bản,Quartz,26mm,Thép không gỉ / Mạ PVD,Thép không gỉ / Mạ PVD,Kính cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
38,2.000.000,SL1076.1202TE,SRWatch,Nhật Bản,Japan Quartz,30mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ 316L/Mạ vàng PVD,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
39,6.950.000,MK3295,,Hoa Kỳ,Quartz,26 mm,Thép không gỉ,Thép không gỉ,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
40,2.450.000,SL5008.1401BL,SRWatch,Nhật Bản,Quartz,32mm,Thép không gỉ,Thép không gỉ/Mạ vàng PVD,Kính Sapphire,50m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
41,1.950.000,SL1056.4602TE,SRWatch,Nhật Bản,Quartz,30mm,Thép không gỉ 316L,Dây da,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
42,3.130.000,OP5698MS-D,Olym Pianus,Nhật Bản,Japan Quartz (Chạy pin),40 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm tiêu chuẩn đồng hồ chính hãng,Nam
43,3.530.000,BI5093-01L,Citizen,Nhật Bản,Quartz (Máy pin),42mm,Thép không gỉ 316L,Dây da,Kính cứng,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
44,8.280.000,SRPB03J1,Seiko,Nhật Bản,Automatic,41 mm,Thép không gỉ,Dây da,Kính Sapphire,100 m,lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
45,2.540.000,F16875/4,,Tây Ban Nha,Quartz,40mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
46,7.960.000,OG1930LS-T,Ogival,Thụy Sỹ,Quartz,30mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
47,7.385.000,AW0084-81A,Citizen,Nhật Bản,Eco - Drive (Năng lượng ánh sáng),42mm,Thép không gỉ,Thép không gỉ,Kính cứng,100m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
48,7.080.000,C4622/1,Candino,Thuỵ Sĩ,Máy Quartz (Pin),41mm,Thép không gỉ 316L,Dây da,Kính Cứng,50m,"Lịch ngày, dạ quang",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
49,4.000.000,EZ6370-56X,Citizen,Nhật Bản,Quartz (Pin),26mm,Thép không gỉ,Thép không gỉ,Kính Cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
50,4.290.000,OP5657DMK-T,Olym Pianus,Nhật Bản,Quartz (Pin),39 mm,Thép không gỉ316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,30M,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
51,11.885.000,NJ0151-88X,Citizen,Nhật Bản,Automatic (Máy cơ),40 mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,50m,"Lich ngày, dạ quang, lộ máy mặt sau",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
52,6.270.000,SSB188P1,Seiko,Nhật Bản,Quartz,45 mm,Thép - PVD vàng,Thép - PVD vàng,Kính cứng,100M,Bấm giờ,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
53,4.050.000,BI5017-50E,Citizen,Nhật Bản,Quartz,40mm,Thép không gỉ,Thép không gỉ,Kính cứng,50mm,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
54,1.050.000,SG3008.4102CV,SRWatch,Nhật Bản,Quartz (Pin),40mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
55,5.875.000,SNE525P1S,Seiko,Nhật Bản,Solar (Năng Lượng Ánh Sáng),40 mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,100 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
56,5.100.000,F16755/3,,Tây Ban Nha,Quartz,48x37 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
57,4.290.000,OP8973AMSK-T,Olym Pianus,Nhật Bản,Automatic,40mm,Thép không gỉ/Mạ PVD,Thép không gỉ/Mạ PVD,Kính Sapphire,30 M,"Lịch ngày, thứ, lên cót tay, dừng kim giây",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
58,4.950.000,BM6981-13E,Citizen,Nhật Bản,Eco-Drive,42mm,Thép không gỉ,Da,Kính cứng chịu lực,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
59,4.850.000,OP990-14AMS-D,Olym Pianus,Nhật Bản,Automatic,41 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
60,9.100.000,97A127,Bulova,Hoa Kỳ,Quartz,40 mm,Thép không gỉ,Thép không gỉ,Kính cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,3 năm,Nam
61,3.350.000,OPA58060LS-T,Olympia Star,Thụy Sỹ,Swiss quartz (Pin),34mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
62,6.080.000,MK3977,,Hoa Kỳ,Quartz,36 mm,Thép không gỉ,Thép không gỉ,Kính Cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
63,5.890.000,OP89322ADSK-T,Olym Pianus,Nhật Bản,Automatic,36mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm tiêu chuẩn đồng hồ chính hãng,Nam
64,3.690.000,OP56571MSK-T,Olym Pianus,Nhật Bản,Quartz (Pin),38 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L / Mạ PVD,Kính Sapphire,30 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
65,3.630.000,FUNG5004W0,Orient,Nhật Bản,Quartz,39 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
66,4.280.000,F16746/1,,Tây Ban Nha,Quartz,39 mm,Thép không gỉ 316L,,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
67,6.700.000,EX1420-84A,Citizen,Nhật Bản,Eco-Drive,23mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
68,4.060.000,OP5657DLSK-T,Olym Pianus,Nhật Bản,Quartz,24 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
69,5.100.000,AW1080-51A,Citizen,Nhật Bản,Eco-Drive,40 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
70,7.600.000,SRZ442P1,Seiko,Nhật Bản,Quartz,30 mm,Thép - PVD vàng,Thép - PVD vàng,Kính cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
71,5.050.000,OP990-132AMS-T,Olym Pianus,Nhật Bản,Automatic,42 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 M,"Open heart, lên cót tay, dừng kim giây",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
72,5.560.000,SSB313P1,Seiko,Nhật Bản,Quartz,43 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,100 m,"Lịch ngày, Chronograph",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
73,5.430.000,FUNG8002W0,Orient,Nhật Bản,Quartz,40 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
74,7.960.000,OG1930MS-T,Ogival,Thụy Sỹ,Quartz,40mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
75,4.410.000,AN8044-53E,Citizen,Nhật Bản,Quartz,43 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
76,70.110.000,FC-220MN3BD6,Frederique Constant,Thụy Sỹ,Quartz (Máy pin),36 mm,Thép không gỉ 316L/Đính kim cương,Dây da,Kính Sapphire,50M,"Lịch ngày, đính kim cương",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
77,9.600.000,97M116,Bulova,Hoa Kỳ,Quartz,37.8x31.5 mm,Thép không gỉ - Mạ PVD,Thép không gỉ - Mạ PVD,Kính cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,3 năm,Nữ
78,7.250.000,SG19191.4101,SRWatch,Nhật Bản,Japan Automatic Movement (Máy Cơ),41mm,Thép không gỉ,Dây da,Kính Sapphire,50m,"Dạ quang, Skeleton",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
79,10.950.000,SRPD31K1,Seiko,Nhật Bản,Automatic,43 mm,Thép không gỉ 316L,Dây da,Kính cứng,200M,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
80,6.570.000,SRPG31K1S,Seiko,Nhật Bản,Automatic,39.4 mm,Thép không gỉ 316L,Dây vải,Kính cứng,100 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
81,14.485.000,96P181,Bulova,Hoa Kỳ,Automatic,34 mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,30m,,5 năm cả lỗi người dùng tại Xwatch,3 năm,Nữ
82,10.860.000,SSA860K1,Seiko,Nhật Bản,Automatic,33.4 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
83,9.200.000,C001.410.16.297.00,Certina,Thụy Sỹ,Quartz (Máy pin),38 mm,Thép không gỉ 316L,Dây da,Kính Sapphire,100 m,"Lịch ngày, kim dạ quang",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
84,2.410.000,F.7.1053.07,Freelook,Pháp,Quartz (Pin),32mm,Thép không gỉ,Thép không gỉ,Kính Cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
85,18.600.000,RE-AU0005L00B,Orient,Nhật Bản,Automatic,39.3 mm,Thép,Thép không gỉ 316L,Kính Sapphire,100M,"Lịch ngày, dạ quang, thang đo năng lượng",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
86,2.000.000,SG1902.4602TE,SRWatch,Nhật Bản,Japan Quartz (Máy Pin),40mm,Thép không gỉ cao cấp/Mạ vàng PVD,Dây da (Genuine leather),Kính Sapphire,50m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
87,4.320.000,SNE473P1,Seiko,Nhật Bản,Solar,43 mm,Thép,Dây da,Kính cứng,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
88,5.880.000,SRPA93K1,Seiko,Nhật Bản,Automatic,44 mm,Thép,Dây dù,Kính cứng,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
89,5.210.000,FAC05007D0,Orient,Nhật Bản,Automatic,40.5mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính cứng,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
90,2.450.000,SL5008.1402BL,SRWatch,Nhật Bản,Quartz,32mm,Thép không gỉ,Thép không gỉ/Mạ vàng PVD,Kính Sapphire,50m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
91,3.410.000,F20379/1,,Tây Ban Nha,Quartz,29 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
92,7.950.000,SL99993.4602GLA,SRWatch,Nhật Bản,"Máy Japan Quartz, kim trôi như tự động",36mm,Thép không gỉ 316L / Mạ vàng PVD,Dây da,Kính Sapphire,50m,"Đính đá, dạ quang",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
93,9.700.000,BM7360-82E,Citizen,Nhật Bản,Eco-drive,41mm,Titanium,Titanium,Sapphire,100,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
94,7.580.000,SRW799P1,Seiko,Nhật Bản,Quartz,36 mm,Thép,Thép,Kính Sapphire,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
95,6.600.000,EW3252-07A,,Nhật Bản,Eco - Drive,27 mm,Thép - PVD vàng hồng,Dây da,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
96,3.780.000,SUR263P1,Seiko,Nhật Bản,Quartz,41mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,100m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
97,4.250.000,BI5034-51E,Citizen,Nhật Bản,Quartz,40 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ vàng PVD,Kính cứng,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
98,4.610.000,RA-AB0F09L19B,Orient,Nhật Bản,Automatic,40mm,Thép không gỉ 316L,Thép không gỉ,Kính cứng,30m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
99,1.950.000,SG80050.4103CF,SRWatch,Nhật Bản,Quartz (Pin),40mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
100,13.203.575,OG3811DGW-T,Ogival,Thụy Sỹ,Swiss quartz (chạy pin),40mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
101,3.900.000,F20009/2,Festina,Thụy Sỹ,Swiss quartz (Pin),29 mm,Thép không gỉ 316L,Dây da,Kính Sapphire,100 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
102,12.460.000,OG380-16DLR-T,Ogival,Thụy Sỹ,Quartz,30 mm,Thép không gỉ 316L,Dây da,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
103,4.290.000,OP8973AMK-T,Olym Pianus,Nhật Bản,Automatic,40mm,Thép không gỉ/Mạ vàng PVD,Thép không gỉ/Mạ vàng PVD,Kính sapphire,30m,"Lịch ngày, lịch thứ, lên cót tay, dừng kim giây",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
104,4.440.000,F20248/3,,Tây Ban Nha,Quartz,36mm,Thép không gỉ 316L,Dây da,Kính Cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
105,5.650.000,SPC083P2,Seiko,Nhật Bản,Quartz,42 mm,Thép không gỉ 316L,Dây da,Kính cứng,100 m,"Lịch ngày, Chronograph",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
106,4.230.000,F20011/1,Festina,Thụy Sỹ,Swiss quartz (Pin),29 mm,Thép không gỉ 316L,Dây da,Kính Sapphire,100 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
107,2.650.000,SL5002.4602BL,SRWatch,Nhật Bản,Quartz,34mm,Thép không gỉ 316L / Mạ vàng PVD,Dây da,Kính Sapphire,50m,"Lịch ngày, đính đá",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
108,6.100.000,97A123,Bulova,Hoa Kỳ,Quartz,41 mm,Thép không gỉ,Dây da,Kính cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,3 năm,Nam
109,9.660.000,EM0770-52Y,Citizen,Nhật Bản,Eco-Drive,31 mm,Thép không gỉ 316L,Thép không gỉ,Kính cứng,50m,Đính đá,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
110,2.790.000,SG5751.4602,SRWatch,Nhật Bản,Quartz (Pin),39mm,Thép không gỉ 316L/Mạ vàng PVD,Dây da,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
111,6.110.000,SUR320P1,Seiko,Nhật Bản,Quartz (Máy Pin),36 mm,Thép không gỉ/ Mạ PVD,Thép không gỉ/ Mạ PVD,Kính sapphire,100 m,"Lịch ngày, dạ quang",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
112,4.723.500,SKS543P1,Seiko,Nhật Bản,Quartz (Máy Pin),42 mm,Thép không gỉ,Thép không gỉ,Kính cứng,100 m,"Lịch ngày, Chronograph",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
113,3.950.000,EU6017-54E,Citizen,Nhật Bản,Quartz,27mm,Thép không gỉ / Mạ ion,Thép không gỉ / Mạ ion,Kính cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
114,3.600.000,OP2434-1DLK-T,Olym Pianus,Nhật Bản,Quartz,26 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
115,14.485.000,97A164,Bulova,Hoa Kỳ,Quartz (Pin),40 mm,Thép không gỉ/Mạ vàng PVD,Thép không gỉ/Mạ vàng PVD,Kính cứng (Mineral Crystal),30m,,5 năm cả lỗi người dùng tại Xwatch,3 năm,Nam
