,Thương hiệu,Giá tiền,Mã sản phẩm,giới tính,kiểu dáng,loại máy,phong cách,mặt kính,đường kính,chất liệu vỏ,độ dày,chất liệu dây,độ chịu nước,tính năng khác,bảo hành chính hãng,màu mặt,xuất xứ thương hiệu,bảo hành duy anh
13,DANIEL WELLINGTON,3.850.200,DW00100404,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,32mm,Thép không gỉ mạ vàng công nghệ PVD,6mm,Dây da,30m,,2 năm quốc tế,Đỏ,Thụy Điển,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
14,ORIENT,2.779.500,FEM7J004D9,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao sang trọng,Mặt kính cứng,42mm,Thép không gỉ 316L,11mm,Thép không gỉ 316L,50m,"Lịch ngày, lịch thứ.",1 năm quốc tế,Xanh lam,Nhật Bản,5 Năm ( Đã bao gồm bảo hành Quốc tế )
15,OLYM PIANUS,4.779.000,OP990-163AMSK-D,Nam,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Sapphire,40mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,,2 năm quốc tế,Đen,Thụy Sỹ,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
16,OLYM PIANUS,7.956.000,OP990-45.24ADGS-T,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,42mm,Thép không gỉ 316L,11.5mm,Thép không gỉ 316L,50m,"Lịch ngày, lịch thứ.",2 năm quốc tế,Trắng,Thụy Sỹ,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
17,LONGINES,51.750.000,L2.357.4.78.6,Nữ,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,34mm,Thép không gỉ 316L,9.2mm,Thép không gỉ 316L,30m,"Lịch ngày. Caliber L888, 25.200vph, trữ cót 72h. Sapphire chống lóa. Khối lượng 92.3 g.",5 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
18,SEIKO,3.177.000,SUR279P1,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Hiện đại,Hardlex Crystal,42mm,Thép không gỉ mạ vàng công nghệ PVD,10mm,Thép không gỉ 316L mạ vàng công nghệ PVD,100m,Lịch ngày,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
19,TISSOT,32.760.000,T108.408.33.037.00,Nam,Mặt tròn,Automatic Chronometer (Máy cơ tự động chuẩn COSC),Sang trọng,Sapphire,39mm - 41mm,Thép không gỉ mạ vàng công nghệ PVD,9.8mm,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,POWERMATIC 80.811 COSC dự trữ năng lượng lên đến 80 giờ.,3 năm quốc tế,Trắng,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế)
20,CITIZEN,4.411.500,BM6650-53L,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Thể thao,Sapphire,39mm,Thép không gỉ 316L,8mm,Thép không gỉ 316L,50m,Lịch ngày.,1 năm quốc tế,Xanh lam,Nhật Bản,
21,CITIZEN,5.087.250,AN8195-58E,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Hiện đại,Mặt kính cứng,42mm,Thép không gỉ mạ công nghệ PVD,11mm,Thép không gỉ mạ công nghệ PVD,100m,Tachymeter. Chronograph.,1 năm quốc tế,Đen,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời
22,CITIZEN,4.675.000,BM6750-59E,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Sang trọng,Sapphire,40mm x 40mm,Thép không gỉ 316L,,Thép không gỉ 316L,5 atm,Lịch ngày,1 năm quốc tế,Đen,Nhật Bản,
23,FOSSIL,3.123.000,ES5061,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Hiện đại,Mặt kính cứng,28mm,Thép không gỉ 316L,,Thép không gỉ 316L,50m,,2 năm quốc tế,Xanh lam,Mỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
24,LONGINES,38.016.000,L4.799.4.92.6,Nam,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Sapphire,35.6mm,Thép không gỉ 316L,9.8mm,Thép không gỉ 316L,30m,"Lịch ngày, lịch thứ.",5 năm quốc tế,Xanh lam,Thụy Sỹ,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
25,SEIKO,7.380.000,SKP362P1,Nam,Mặt vuông,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,,Thủy Tinh,,Vàng 18K,,,,Hồng,,
26,SKAGEN,2.925.000,344LMXM,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,34mm,Thép không gỉ 316L,8.7mm,Thép không gỉ 316L,30m,"Lịch ngày, lịch thứ.",Trọn đời,Đen,Đan Mạch,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
27,CALVIN KLEIN,6.237.000,K7L23141,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,30mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,,2 năm quốc tế,Đen,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
28,CALVIN KLEIN,4.752.000,25200134,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,36mm,Thép không gỉ mạ vàng công nghệ PVD,7mm,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,,2 năm quốc tế,Trắng,Mỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
29,CALVIN KLEIN,4.212.000,K7V231C1,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,26mm,Thép không gỉ 316L,,Dây da,30m,,2 năm quốc tế,Đen,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
30,FREELOOK,1.584.000,F.1.1077.07,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,34mm,Thép không gỉ 316L,,Dây da,50m,,2 năm quốc tế,Xanh lam,Pháp,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
31,LONGINES,51.750.000,L2.628.4.78.5,Nam,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Sapphire,38.5mm,Thép không gỉ 316L,9.2mm,Dây da,30m,"Lịch ngày. Caliber L888, 25.200vph, trữ cót 64h.",5 năm quốc tế,Trắng,Thụy Sỹ,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
32,SEIKO,2.997.000,SUR702P1,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,30mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,50m,Lịch ngày,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
33,SEIKO,7.857.000,SRPD69K1,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao,Hardlex Crystal,42.5mm,Thép không gỉ 316L,13.4mm,Thép không gỉ 316L dạng lưới,100m,"Lịch ngày, lịch thứ. Caliber 4R36, 24 chân kính, trữ cót 41h.",1 năm quốc tế,Đỏ,Nhật Bản,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
34,LONGINES,93.150.000,L2.628.5.97.7,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,38.5mm,Thép không gỉ 316L/ Vàng 18K,9.2mm,Thép không gỉ 316L/ Vàng 18K,30m,"Lịch ngày, Caliber L888, 25.200vph, trữ cót 64h.",5 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
35,LONGINES,27.720.000,L4.859.2.12.8,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,38.5mm,Thép không gỉ mạ vàng công nghệ PVD,5.6mm,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,Lịch ngày. EOL (battery end-of-life indicator).,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
36,TISSOT,16.326.000,T048.417.27.037.00,Nam,Mặt vuông,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,,Thủy Tinh,,Vàng 18K,,,,Hồng,,
37,ORIENT,6.995.500,RA-AC0J03L10B,Nam,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Mặt kính cứng,42.4mm,Thép không gỉ 316L,11.2mm,Thép không gỉ 316L,50m,"Lịch ngày. Caliber F6722, 22 chân kính, trữ cót 40h.",1 năm quốc tế,Xanh lam,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế)
38,TISSOT,10.305.000,T057.210.16.117.01,Nam,Mặt vuông,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,,Thủy Tinh,,Vàng 18K,,,,Hồng,,
39,LONGINES,23.958.000,L4.359.2.12.7,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,32mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,Lịch ngày,2 năm quốc tế,Trắng,Thuỵ Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
40,LONGINES,43.987.500,L4.918.4.11.2,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,38mm,Thép không gỉ 316L,,Dây da,30m,"Caliber L591, 28.800vph, trữ cót 45h.",5 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế).
41,CITIZEN,2.677.500,EX0330-56A,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,23mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
42,CITIZEN,2.176.000,BF2001-04E,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,39mm,Thép không gỉ 316L,,Dây da,50m,"Lịch ngày, lịch thứ.",1 năm quốc tế,Đen,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
43,CALVIN KLEIN,7.938.000,25200148,Nam,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Mặt kính cứng,41.2mm,Thép không gỉ 316L,11.65mm,Thép không gỉ 316L,50m,Open Heart.,2 năm quốc tế,Đen,Mỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
44,SEIKO,4.338.000,SNKL50K1,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,38mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,"Lịch ngày, lịch thứ.",1 năm quốc tế,Đen,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
45,LONGINES,60.805.800,L2.828.4.53.6,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,38.5mm,Thép không gỉ 316L,11mm,Thép không gỉ 316L,30m,"Caliber L893, 25.200vph, trữ cót 72h. Sapphire chống lóa.",5 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
46,CALVIN KLEIN,5.103.000,K1L23526,Nữ,Mặt chữ nhật,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,20mm - 21mm,Thép không gỉ 316L,6mm,Dây da,30m,,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
47,LONGINES,77.625.000,L3.820.4.93.3,Nam,Mặt tròn,Automatic Chronometer (Máy cơ tự động chuẩn COSC),Thể thao sang trọng,Sapphire,42mm,Thép không gỉ 316L,16.3mm,Dây da,100m,"Lịch ngày. Chronograph. Caliber L688.4, 28.800vph, trữ cót 60h.",5 năm quốc tế,Xanh lam,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
48,SEIKO,2.745.000,SUR149P1,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Hiện đại,Mặt kính cứng,41mm,Thép không gỉ 316L,8mm,Dây da,100m,Lịch ngày,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
49,CITIZEN,8.568.000,NH8340-52E,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,40mm,Thép không gỉ 316L,12mm,Thép không gỉ 316L,100m,"Lịch ngày, lịch thứ.",1 năm quốc tế,Đen,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
50,MIDO,21.672.000,M039.007.11.106.00,Nữ,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Sapphire,25mm,Thép không gỉ 316L,9.1mm,Thép không gỉ 316L,50m,"Lịch ngày. Mặt số đính 12 viên kim cương tổng 0.0252 Carat. Caliber ETA 2671, 25 chân kính, trữ cót 44h. Sapphire chống lóa. Khối lượng 62g.",2 năm quốc tế,Khảm trai,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
51,MIDO,32.355.000,M038.431.11.031.00,Nam,Mặt tròn,Automatic Chronometer (Máy cơ tự động chuẩn COSC),Hiện đại,Sapphire,42mm,Thép không gỉ 316L,12mm,Thép không gỉ 316L,100m,"Lịch thứ, lịch ngày. Mido Caliber 80 COSC Si (base ETA C07.821), 25 chân kính, trữ cót 80h. Sapphire chống lóa.",5 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế).
52,LONGINES,54.252.000,L2.648.4.78.3,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,40mm,Thép không gỉ 316L,9.5mm,Dây da,30m,Lịch ngày.,5 năm quốc tế,Trắng,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế)
53,SEIKO,6.282.000,SRPD55K3,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao,Hardlex Crystal,42.5mm,Thép không gỉ 316L,13.4mm,Dây dù,100m,"Lịch ngày, lịch thứ. Caliber 4R36, 24 chân kính, trữ cót 41h.",1 năm quốc tế,Đen,Nhật Bản,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
54,LONGINES,62.100.000,L2.175.0.71.6,Nữ,Tonneau,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,23.3mm - 19.6mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,Mặt số đính 44 viên kim cương tổng 0.176 carat.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
55,CITIZEN,10.089.500,AW1230-51E,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Sang trọng,Sapphire,40mm,Thép không gỉ 316L,9mm,Thép không gỉ 316L,30m,"Lịch ngày. ECO-DIVE hấp thụ năng lượng từ ánh sang, không cần thay pin.",1 năm quốc tế,Đen,Nhật Bản,
56,CALVIN KLEIN,12.411.000,K3G2352W,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,33.5mm,Thép không gỉ mạ vàng công nghệ PVD,8mm,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,Mặt đính kim cương,2 năm quốc tế,Trắng,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
57,FREDERIQUE CONSTANT,25.559.500,FC-292MV5B4,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao sang trọng,Sapphire,40mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,50m,Lịch ngày. Chronograph.,2 năm,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời
58,TISSOT,7.722.000,T109.410.11.053.00,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,38mm,Thép không gỉ 316L,6.5mm,Thép không gỉ 316L,30m,,2 năm Quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
59,DANIEL WELLINGTON,5.409.000,DW00100025-0211DW,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,40mm,Thép không gỉ 316L,,Dây da,30m,"Thương hiệu Thụy Điển, máy Nhật Bản",2 năm quốc tế,Trắng,Thụy Điển,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
60,CASIO,4.485.600,GA-110GW-7ADR,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao,Mặt kính cứng,51.2mm,Nhựa,16.9mm,Nhựa,200m,"lịch ngày, chức năng bấm giờ thể thao",5 năm quốc tế,Đen,Nhật Bản,5 Năm ( Đã bao gồm bảo hành Quốc tế ). Thay pin miễn phí trọn đời
61,ORIENT,2.932.500,FER2700AW0,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,41mm,Thép không gỉ 316L,12mm,Thép không gỉ 316L,50 m,Lịch ngày.,1 năm quốc tế,Trắng,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
62,OLYM PIANUS,6.354.000,OP99141-71.1AGS-GL-T,Nam,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Sapphire,40mm,Thép không gỉ 316L,11mm,Dây da,30m,,2 năm quốc tế,Trắng,Thụy Sỹ,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
63,TISSOT,8.667.000,T023.210.16.111.00,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,28.2x26mm,Thép không gỉ 316L,7.95mm,Dây da,30 m,,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
64,TISSOT,22.050.000,T122.207.22.031.01,Nữ,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Sapphire,30mm,Thép không gỉ mạ vàng công nghệ PVD,9.5mm,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,"Lịch ngày. Caliber ETA 2671, 25 chân kính, trữ cót 38h.",2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế).
65,TISSOT,18.270.000,T126.207.16.013.00,Nữ,Mặt tròn,Automatic (Máy cơ tự động),Thời trang,Sapphire,29mm,Thép không gỉ 316L,9.6mm,Dây da,50m,"Lịch ngày. Caliber Powermatic 48.111, 24 chân kính, trữ cót 48h. Sapphire chống lóa. Khối lượng 38g.",2 năm quốc tế,Trắng,Thuỵ Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế).
66,TITONI,31.518.000,SY-DB-019,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,40mm,Thép không gỉ mạ vàng công nghệ PVD,11.45mm,Thép không gỉ 316L mạ vàng công nghệ PVD,100m,"Lịch thứ, lịch ngày. Caliber ETA 2834-2, 25 chân kính, trữ cót 40h. Sapphire chống lóa.",2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế).
67,LONGINES,28.462.500,L4.512.4.95.2,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,29mm,Thép không gỉ 316L,4.5mm,Dây da,30m,,2 năm quốc tế,Xanh lam,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
68,FOSSIL,3.636.000,FS5927,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Quân đội,Mặt kính cứng,42mm,Thép không gỉ 316L,,Dây da,50m,,2 năm quốc tế,Trắng,Mỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
69,SEIKO,2.853.000,SNKL35K1,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,37.8mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,"Lịch ngày, lịch thứ.",1 năm quốc tế,Đen,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
70,CHARRIOL,32.665.500,AMS.920.001,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Sapphire,34mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,,2 năm quốc tế,Trắng,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
71,SEIKO,9.846.000,SRP761J2,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,39.2mm,Thép không gỉ 316L,12mm,Dây da,100m,"Lịch ngày, lịch thứ.",1 năm quốc tế,Trắng,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
72,TISSOT,19.692.000,T035.407.11.051.01,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,39mm,Thép không gỉ 316L,10.8mm,Thép không gỉ 316L,100m,"Lịch ngày, lịch thứ. POWERMATIC 80 dự trữ năng lượng lên đến 80 giờ.",2 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
73,ORIENT,21.224.500,RE-AU0306L00B,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao,Sapphire,43mm,Thép không gỉ 316L,14mm,Thép không gỉ 316L,200m,Hiển thị dự trữ năng lượng,2 năm quốc tế,Xanh lam,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế)
74,CALVIN KLEIN,4.212.000,K3M221CY,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,35mm,Thép không gỉ 316L,6.1mm,Dây da,30m,,2 năm quốc tế,Trắng,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
75,TISSOT,9.450.000,T122.223.16.353.00,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,32mm,Thép không gỉ 316L,7.4mm,Dây da,50m,Lịch ngày. Moonphase. EOL.,2 năm quốc tế,Xanh,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
